"","V1","V2"
"603","Cat","Ephx2"
"604","Cat","Ephx2"
"605","Lipe","Fabp3"
"606","Lipe","Fabp3"
"607","Pdk4","Fabp3"
"608","Pdk4","Fabp3"
"609","Eci1","Fabp3"
"610","Eci1","Fabp3"
"611","Hsd17b4","Fabp3"
"612","Hsd17b4","Fabp3"
"613","Cidea","Fabp3"
"614","Cidea","Fabp3"
"615","Cpt1a","Fabp3"
"616","Cpt1a","Fabp3"
"617","Acadl","Fabp3"
"618","Acadl","Fabp3"
"619","Decr1","Fabp3"
"620","Decr1","Fabp3"
"621","Cpt2","Fabp3"
"622","Cpt2","Fabp3"
"623","Ucp3","Fabp3"
"624","Ucp3","Fabp3"
"625","Dgat2","Fabp3"
"626","Dgat2","Fabp3"
"627","Acsl1","Fabp3"
"628","Acsl1","Fabp3"
"629","Slc27a1","Fabp3"
"630","Slc27a1","Fabp3"
"631","Me1","Fabp3"
"632","Me1","Fabp3"
"633","Slc25a20","Fabp3"
"634","Slc25a20","Fabp3"
"635","Acaa2","Fabp3"
"636","Acaa2","Fabp3"
"637","Fasn","Fabp3"
"638","Fasn","Fabp3"
"639","Insig1","Fabp3"
"640","Insig1","Fabp3"
"641","Ak1","Fabp3"
"642","Ak1","Fabp3"
"643","Tspan3","Bsg"
"644","Tspan3","Bsg"
"645","Etfdh","Entpd5"
"646","Etfdh","Entpd5"
"647","Ak1","Entpd5"
"648","Ak1","Entpd5"
"649","Adra1b","Entpd5"
"650","Adra1b","Entpd5"
"651","Lipe","Acadm"
"652","Lipe","Acadm"
"653","Etfb","Acadm"
"654","Etfb","Acadm"
"655","Pdk4","Acadm"
"656","Pdk4","Acadm"
"657","Eci1","Acadm"
"658","Eci1","Acadm"
"659","Hsd17b4","Acadm"
"660","Hsd17b4","Acadm"
"661","Cpt1a","Acadm"
"662","Cpt1a","Acadm"
"663","Hspd1","Acadm"
"664","Hspd1","Acadm"
"665","Acadl","Acadm"
"666","Acadl","Acadm"
"667","Cat","Acadm"
"668","Cat","Acadm"
"669","Etfdh","Acadm"
"670","Etfdh","Acadm"
"671","Hadh","Acadm"
"672","Hadh","Acadm"
"673","Abcd3","Acadm"
"674","Abcd3","Acadm"
"675","Decr1","Acadm"
"676","Decr1","Acadm"
"677","Hsdl2","Acadm"
"678","Hsdl2","Acadm"
"679","Cpt2","Acadm"
"680","Cpt2","Acadm"
"681","Ucp3","Acadm"
"682","Ucp3","Acadm"
"683","Dgat2","Acadm"
"684","Dgat2","Acadm"
"685","Acsl1","Acadm"
"686","Acsl1","Acadm"
"687","Slc27a1","Acadm"
"688","Slc27a1","Acadm"
"689","Etfa","Acadm"
"690","Etfa","Acadm"
"691","Slc25a20","Acadm"
"692","Slc25a20","Acadm"
"693","Acaa2","Acadm"
"694","Acaa2","Acadm"
"695","Fasn","Acadm"
"696","Fasn","Acadm"
"697","Fabp3","Acadm"
"698","Fabp3","Acadm"
"699","Acot2","Acot7"
"700","Acot2","Acot7"
"701","Hsd17b7","Acot7"
"702","Hsd17b7","Acot7"
"703","Aldh9a1","Acot7"
"704","Aldh9a1","Acot7"
"705","Prkaca","Ppp1r1b"
"706","Prkaca","Ppp1r1b"
"707","Calr","Erc1"
"708","Calr","Erc1"
"709","Decr1","Erc1"
"710","Decr1","Erc1"
"711","Mcm3","Paqr9"
"712","Mcm3","Paqr9"
"713","Cyp51","Fdps"
"714","Cyp51","Fdps"
"715","Hsd17b7","Fdps"
"716","Hsd17b7","Fdps"
"717","Coq3","Fdps"
"718","Coq3","Fdps"
"719","Ldlr","Fdps"
"720","Ldlr","Fdps"
"721","Dhcr24","Fdps"
"722","Dhcr24","Fdps"
"723","Fasn","Fdps"
"724","Fasn","Fdps"
"725","Insig1","Fdps"
"726","Insig1","Fdps"
"727","Klhl30","Hrc"
"728","Klhl30","Hrc"
"729","Acta1","Hrc"
"730","Acta1","Hrc"
"731","Hspb6","Hrc"
"732","Hspb6","Hrc"
"733","Kcne1","Abcc9"
"734","Kcne1","Abcc9"
"735","Cyp51","Hmgcs2"
"736","Cyp51","Hmgcs2"
"737","Angptl4","Hmgcs2"
"738","Angptl4","Hmgcs2"
"739","Pdk4","Hmgcs2"
"740","Pdk4","Hmgcs2"
"741","Eci1","Hmgcs2"
"742","Eci1","Hmgcs2"
"743","Hsd17b4","Hmgcs2"
"744","Hsd17b4","Hmgcs2"
"745","Cpt1a","Hmgcs2"
"746","Cpt1a","Hmgcs2"
"747","Acadl","Hmgcs2"
"748","Acadl","Hmgcs2"
"749","Hsd17b7","Hmgcs2"
"750","Hsd17b7","Hmgcs2"
"751","Hadh","Hmgcs2"
"752","Hadh","Hmgcs2"
"753","Cpt2","Hmgcs2"
"754","Cpt2","Hmgcs2"
"755","Acsl1","Hmgcs2"
"756","Acsl1","Hmgcs2"
"757","Slc27a1","Hmgcs2"
"758","Slc27a1","Hmgcs2"
"759","Ldlr","Hmgcs2"
"760","Ldlr","Hmgcs2"
"761","Slc25a20","Hmgcs2"
"762","Slc25a20","Hmgcs2"
"763","Acaa2","Hmgcs2"
"764","Acaa2","Hmgcs2"
"765","Dhcr24","Hmgcs2"
"766","Dhcr24","Hmgcs2"
"767","Fasn","Hmgcs2"
"768","Fasn","Hmgcs2"
"769","Insig1","Hmgcs2"
"770","Insig1","Hmgcs2"
"771","Acadm","Hmgcs2"
"772","Acadm","Hmgcs2"
"773","Fdps","Hmgcs2"
"774","Fdps","Hmgcs2"
"775","Pdk4","Mlycd"
"776","Pdk4","Mlycd"
"777","Acot2","Mlycd"
"778","Acot2","Mlycd"
"779","Hsd17b4","Mlycd"
"780","Hsd17b4","Mlycd"
"781","Cpt1a","Mlycd"
"782","Cpt1a","Mlycd"
"783","Acadl","Mlycd"
"784","Acadl","Mlycd"
"785","Crat","Mlycd"
"786","Crat","Mlycd"
"787","Cat","Mlycd"
"788","Cat","Mlycd"
"789","Hadh","Mlycd"
"790","Hadh","Mlycd"
"791","Cpt2","Mlycd"
"792","Cpt2","Mlycd"
"793","Prkag2","Mlycd"
"794","Prkag2","Mlycd"
"795","Ucp3","Mlycd"
"796","Ucp3","Mlycd"
"797","Dgat2","Mlycd"
"798","Dgat2","Mlycd"
"799","Slc27a1","Mlycd"
"800","Slc27a1","Mlycd"
"801","Slc25a20","Mlycd"
"802","Slc25a20","Mlycd"
"803","Acaa2","Mlycd"
"804","Acaa2","Mlycd"
"805","Fasn","Mlycd"
"806","Fasn","Mlycd"
"807","Ephx2","Mlycd"
"808","Ephx2","Mlycd"
"809","Acadm","Mlycd"
"810","Acadm","Mlycd"
"811","Fras1","Rtn4rl1"
"812","Fras1","Rtn4rl1"
"813","Etfb","Acadvl"
"814","Etfb","Acadvl"
"815","Pdk4","Acadvl"
"816","Pdk4","Acadvl"
"817","Plin5","Acadvl"
"818","Plin5","Acadvl"
"819","Acot2","Acadvl"
"820","Acot2","Acadvl"
"821","Eci1","Acadvl"
"822","Eci1","Acadvl"
"823","Hsd17b4","Acadvl"
"824","Hsd17b4","Acadvl"
"825","Cpt1a","Acadvl"
"826","Cpt1a","Acadvl"
"827","Acadl","Acadvl"
"828","Acadl","Acadvl"
"829","Crat","Acadvl"
"830","Crat","Acadvl"
"831","Cat","Acadvl"
"832","Cat","Acadvl"
"833","Etfdh","Acadvl"
"834","Etfdh","Acadvl"
"835","Hadh","Acadvl"
"836","Hadh","Acadvl"
"837","Decr1","Acadvl"
"838","Decr1","Acadvl"
"839","Hsdl2","Acadvl"
"840","Hsdl2","Acadvl"
"841","Cpt2","Acadvl"
"842","Cpt2","Acadvl"
"843","Ucp3","Acadvl"
"844","Ucp3","Acadvl"
"845","Dgat2","Acadvl"
"846","Dgat2","Acadvl"
"847","Acsl1","Acadvl"
"848","Acsl1","Acadvl"
"849","Slc27a1","Acadvl"
"850","Slc27a1","Acadvl"
"851","Etfa","Acadvl"
"852","Etfa","Acadvl"
"853","Me1","Acadvl"
"854","Me1","Acadvl"
"855","Slc25a20","Acadvl"
"856","Slc25a20","Acadvl"
"857","Acaa2","Acadvl"
"858","Acaa2","Acadvl"
"859","Fasn","Acadvl"
"860","Fasn","Acadvl"
"861","Retsat","Acadvl"
"862","Retsat","Acadvl"
"863","Fabp3","Acadvl"
"864","Fabp3","Acadvl"
"865","Acadm","Acadvl"
"866","Acadm","Acadvl"
"867","Hmgcs2","Acadvl"
"868","Hmgcs2","Acadvl"
"869","Mlycd","Acadvl"
"870","Mlycd","Acadvl"
"871","Lipe","Acacb"
"872","Lipe","Acacb"
"873","Cpt1a","Acacb"
"874","Cpt1a","Acacb"
"875","Acadl","Acacb"
"876","Acadl","Acacb"
"877","Hadh","Acacb"
"878","Hadh","Acacb"
"879","Cpt2","Acacb"
"880","Cpt2","Acacb"
"881","Prkag2","Acacb"
"882","Prkag2","Acacb"
"883","Dgat2","Acacb"
"884","Dgat2","Acacb"
"885","Acsl1","Acacb"
"886","Acsl1","Acacb"
"887","Slc27a1","Acacb"
"888","Slc27a1","Acacb"
