"","V1","V2"
"860","Gabarapl1","Foxo3"
"861","Rbl2","Foxo3"
"862","Rbl2","Foxo3"
"863","Prkaca","Ywhag"
"864","Prkaca","Ywhag"
"865","Atp6v1b2","Ywhag"
"866","Atp6v1b2","Ywhag"
"867","Ddit4","Ywhag"
"868","Ddit4","Ywhag"
"869","Ccng1","Ywhag"
"870","Ccng1","Ywhag"
"871","Slc2a1","Ywhag"
"872","Slc2a1","Ywhag"
"873","Hspb6","Ywhag"
"874","Hspb6","Ywhag"
"875","Foxo3","Ywhag"
"876","Foxo3","Ywhag"
"877","Prkaca","Kcne1"
"878","Prkaca","Kcne1"
"879","Nkx2-5","Kcne1"
"880","Nkx2-5","Kcne1"
"881","Cyp51","Fasn"
"882","Cyp51","Fasn"
"883","Lipe","Fasn"
"884","Lipe","Fasn"
"885","Ndrg1","Fasn"
